idx,case_idx,key,mixture_id,target_source,mixture_relpath,target_relpath,enrollment_relpath
0,0,050a0501_1.7783_442o030z_-1.7783_050o0207,050a0501_1.7783_442o030z_-1.7783,s1,tt/mix/050a0501_1.7783_442o030z_-1.7783.wav,tt/s1/050a0501_1.7783_442o030z_-1.7783.wav,wsj0/si_dt_05_8k/050/050o0207.wav
0,1,050a0501_1.7783_442o030z_-1.7783_442o030d,050a0501_1.7783_442o030z_-1.7783,s2,tt/mix/050a0501_1.7783_442o030z_-1.7783.wav,tt/s2/050a0501_1.7783_442o030z_-1.7783.wav,wsj0/si_et_05_8k/442/442o030d.wav
1,0,050a0502_1.3461_440o030j_-1.3461_050a050c,050a0502_1.3461_440o030j_-1.3461,s1,tt/mix/050a0502_1.3461_440o030j_-1.3461.wav,tt/s1/050a0502_1.3461_440o030j_-1.3461.wav,wsj0/si_dt_05_8k/050/050a050c.wav
1,1,050a0502_1.3461_440o030j_-1.3461_440c0211,050a0502_1.3461_440o030j_-1.3461,s2,tt/mix/050a0502_1.3461_440o030j_-1.3461.wav,tt/s2/050a0502_1.3461_440o030j_-1.3461.wav,wsj0/si_et_05_8k/440/440c0211.wav
2,0,050a0502_1.463_420a010o_-1.463_050a050j,050a0502_1.463_420a010o_-1.463,s1,tt/mix/050a0502_1.463_420a010o_-1.463.wav,tt/s1/050a0502_1.463_420a010o_-1.463.wav,wsj0/si_dt_05_8k/050/050a050j.wav
2,1,050a0502_1.463_420a010o_-1.463_420c020u,050a0502_1.463_420a010o_-1.463,s2,tt/mix/050a0502_1.463_420a010o_-1.463.wav,tt/s2/050a0502_1.463_420a010o_-1.463.wav,wsj0/si_dt_05_8k/420/420c020u.wav
3,0,050a0502_1.9707_440c020w_-1.9707_050c010e,050a0502_1.9707_440c020w_-1.9707,s1,tt/mix/050a0502_1.9707_440c020w_-1.9707.wav,tt/s1/050a0502_1.9707_440c020w_-1.9707.wav,wsj0/si_dt_05_8k/050/050c010e.wav
3,1,050a0502_1.9707_440c020w_-1.9707_440c020t,050a0502_1.9707_440c020w_-1.9707,s2,tt/mix/050a0502_1.9707_440c020w_-1.9707.wav,tt/s2/050a0502_1.9707_440c020w_-1.9707.wav,wsj0/si_et_05_8k/440/440c020t.wav
4,0,050a0504_2.4414_443o0313_-2.4414_050o020g,050a0504_2.4414_443o0313_-2.4414,s1,tt/mix/050a0504_2.4414_443o0313_-2.4414.wav,tt/s1/050a0504_2.4414_443o0313_-2.4414.wav,wsj0/si_dt_05_8k/050/050o020g.wav
4,1,050a0504_2.4414_443o0313_-2.4414_443c0207,050a0504_2.4414_443o0313_-2.4414,s2,tt/mix/050a0504_2.4414_443o0313_-2.4414.wav,tt/s2/050a0504_2.4414_443o0313_-2.4414.wav,wsj0/si_et_05_8k/443/443c0207.wav
5,0,050a0505_1.5097_440o030d_-1.5097_050a050g,050a0505_1.5097_440o030d_-1.5097,s1,tt/mix/050a0505_1.5097_440o030d_-1.5097.wav,tt/s1/050a0505_1.5097_440o030d_-1.5097.wav,wsj0/si_dt_05_8k/050/050a050g.wav
